gene_id,gene_short_name,gene_type,chromosome
GENE_000249,Gene_249,protein_coding,chr7
GENE_000250,Gene_250,protein_coding,chr8
GENE_000251,Gene_251,protein_coding,chr9
GENE_000252,Gene_252,protein_coding,chr10
GENE_000253,Gene_253,protein_coding,chr11
GENE_000254,Gene_254,protein_coding,chr12
GENE_000255,Gene_255,protein_coding,chr13
GENE_000256,Gene_256,protein_coding,chr14
GENE_000257,Gene_257,protein_coding,chr15
GENE_000258,Gene_258,protein_coding,chr16
GENE_000259,Gene_259,protein_coding,chr17
GENE_000260,Gene_260,protein_coding,chr18
GENE_000261,Gene_261,protein_coding,chr19
GENE_000262,Gene_262,protein_coding,chr20
GENE_000263,Gene_263,protein_coding,chr21
GENE_000264,Gene_264,protein_coding,chr22
GENE_000265,Gene_265,protein_coding,chr1
GENE_000266,Gene_266,protein_coding,chr2
GENE_000267,Gene_267,protein_coding,chr3
GENE_000268,Gene_268,protein_coding,chr4
GENE_000269,Gene_269,protein_coding,chr5
GENE_000270,Gene_270,protein_coding,chr6
GENE_000271,Gene_271,protein_coding,chr7
GENE_000272,Gene_272,protein_coding,chr8
GENE_000273,Gene_273,protein_coding,chr9
GENE_000274,Gene_274,protein_coding,chr10
GENE_000275,Gene_275,protein_coding,chr11
GENE_000276,Gene_276,protein_coding,chr12
GENE_000277,Gene_277,protein_coding,chr13
GENE_000278,Gene_278,protein_coding,chr14
GENE_000279,Gene_279,protein_coding,chr15
GENE_000280,Gene_280,protein_coding,chr16
GENE_000281,Gene_281,protein_coding,chr17
GENE_000282,Gene_282,protein_coding,chr18
GENE_000283,Gene_283,protein_coding,chr19
GENE_000284,Gene_284,protein_coding,chr20
GENE_000285,Gene_285,protein_coding,chr21
GENE_000286,Gene_286,protein_coding,chr22
GENE_000287,Gene_287,protein_coding,chr1
GENE_000288,Gene_288,protein_coding,chr2
GENE_000289,Gene_289,protein_coding,chr3
GENE_000290,Gene_290,protein_coding,chr4
GENE_000291,Gene_291,protein_coding,chr5
GENE_000292,Gene_292,protein_coding,chr6
GENE_000293,Gene_293,protein_coding,chr7
GENE_000294,Gene_294,protein_coding,chr8
GENE_000295,Gene_295,protein_coding,chr9
GENE_000296,Gene_296,protein_coding,chr10
GENE_000297,Gene_297,protein_coding,chr11
GENE_000298,Gene_298,protein_coding,chr12
GENE_000299,Gene_299,protein_coding,chr13
GENE_000300,Gene_300,protein_coding,chr14
GENE_000301,Gene_301,protein_coding,chr15
GENE_000302,Gene_302,protein_coding,chr16
GENE_000303,Gene_303,protein_coding,chr17
GENE_000304,Gene_304,protein_coding,chr18
GENE_000305,Gene_305,protein_coding,chr19
GENE_000306,Gene_306,protein_coding,chr20
GENE_000307,Gene_307,protein_coding,chr21
GENE_000308,Gene_308,protein_coding,chr22
GENE_000309,Gene_309,protein_coding,chr1
GENE_000310,Gene_310,protein_coding,chr2
GENE_000311,Gene_311,protein_coding,chr3
GENE_000312,Gene_312,protein_coding,chr4
GENE_000313,Gene_313,protein_coding,chr5
GENE_000314,Gene_314,protein_coding,chr6
GENE_000315,Gene_315,protein_coding,chr7
GENE_000316,Gene_316,protein_coding,chr8
GENE_000317,Gene_317,protein_coding,chr9
GENE_000318,Gene_318,protein_coding,chr10
GENE_000319,Gene_319,protein_coding,chr11
GENE_000320,Gene_320,protein_coding,chr12
GENE_000321,Gene_321,protein_coding,chr13
GENE_000322,Gene_322,protein_coding,chr14
GENE_000323,Gene_323,protein_coding,chr15
GENE_000324,Gene_324,protein_coding,chr16
GENE_000325,Gene_325,protein_coding,chr17
GENE_000326,Gene_326,protein_coding,chr18
GENE_000327,Gene_327,protein_coding,chr19
GENE_000328,Gene_328,protein_coding,chr20
GENE_000329,Gene_329,protein_coding,chr21
GENE_000330,Gene_330,protein_coding,chr22
GENE_000331,Gene_331,protein_coding,chr1
GENE_000332,Gene_332,protein_coding,chr2
GENE_000333,Gene_333,protein_coding,chr3
GENE_000334,Gene_334,protein_coding,chr4
GENE_000335,Gene_335,protein_coding,chr5
GENE_000336,Gene_336,protein_coding,chr6
GENE_000337,Gene_337,protein_coding,chr7
GENE_000338,Gene_338,protein_coding,chr8
GENE_000339,Gene_339,protein_coding,chr9
GENE_000340,Gene_340,protein_coding,chr10
GENE_000341,Gene_341,protein_coding,chr11
GENE_000342,Gene_342,protein_coding,chr12
GENE_000343,Gene_343,protein_coding,chr13
GENE_000344,Gene_344,protein_coding,chr14
GENE_000345,Gene_345,protein_coding,chr15
GENE_000346,Gene_346,protein_coding,chr16
GENE_000347,Gene_347,protein_coding,chr17
GENE_000348,Gene_348,protein_coding,chr18
GENE_000349,Gene_349,protein_coding,chr19
GENE_000350,Gene_350,protein_coding,chr20
GENE_000351,Gene_351,protein_coding,chr21
GENE_000352,Gene_352,protein_coding,chr22
GENE_000353,Gene_353,protein_coding,chr1
GENE_000354,Gene_354,protein_coding,chr2
GENE_000355,Gene_355,protein_coding,chr3
GENE_000356,Gene_356,protein_coding,chr4
GENE_000357,Gene_357,protein_coding,chr5
GENE_000358,Gene_358,protein_coding,chr6
GENE_000359,Gene_359,protein_coding,chr7
GENE_000360,Gene_360,protein_coding,chr8
GENE_000361,Gene_361,protein_coding,chr9
GENE_000362,Gene_362,protein_coding,chr10
GENE_000363,Gene_363,protein_coding,chr11
GENE_000364,Gene_364,protein_coding,chr12
GENE_000365,Gene_365,protein_coding,chr13
GENE_000366,Gene_366,protein_coding,chr14
GENE_000367,Gene_367,protein_coding,chr15
GENE_000368,Gene_368,protein_coding,chr16
GENE_000369,Gene_369,protein_coding,chr17
GENE_000370,Gene_370,protein_coding,chr18
GENE_000371,Gene_371,protein_coding,chr19
GENE_000372,Gene_372,protein_coding,chr20
GENE_000373,Gene_373,protein_coding,chr21
GENE_000374,Gene_374,protein_coding,chr22
GENE_000375,Gene_375,protein_coding,chr1
GENE_000376,Gene_376,protein_coding,chr2
GENE_000377,Gene_377,protein_coding,chr3
GENE_000378,Gene_378,protein_coding,chr4
GENE_000379,Gene_379,protein_coding,chr5
GENE_000380,Gene_380,protein_coding,chr6
GENE_000381,Gene_381,protein_coding,chr7
GENE_000382,Gene_382,protein_coding,chr8
GENE_000383,Gene_383,protein_coding,chr9
GENE_000384,Gene_384,protein_coding,chr10
GENE_000385,Gene_385,protein_coding,chr11
GENE_000386,Gene_386,protein_coding,chr12
GENE_000387,Gene_387,protein_coding,chr13
GENE_000388,Gene_388,protein_coding,chr14
GENE_000389,Gene_389,protein_coding,chr15
GENE_000390,Gene_390,protein_coding,chr16
GENE_000391,Gene_391,protein_coding,chr17
GENE_000392,Gene_392,protein_coding,chr18
GENE_000393,Gene_393,protein_coding,chr19
GENE_000394,Gene_394,protein_coding,chr20
GENE_000395,Gene_395,protein_coding,chr21
GENE_000396,Gene_396,protein_coding,chr22
GENE_000397,Gene_397,protein_coding,chr1
GENE_000398,Gene_398,protein_coding,chr2
GENE_000399,Gene_399,protein_coding,chr3
GENE_000400,Gene_400,protein_coding,chr4
GENE_000401,Gene_401,protein_coding,chr5
GENE_000402,Gene_402,protein_coding,chr6
GENE_000403,Gene_403,protein_coding,chr7
GENE_000404,Gene_404,protein_coding,chr8
GENE_000405,Gene_405,protein_coding,chr9
GENE_000406,Gene_406,protein_coding,chr10
GENE_000407,Gene_407,protein_coding,chr11
GENE_000408,Gene_408,protein_coding,chr12
GENE_000409,Gene_409,protein_coding,chr13
GENE_000410,Gene_410,protein_coding,chr14
GENE_000411,Gene_411,protein_coding,chr15
GENE_000412,Gene_412,protein_coding,chr16
GENE_000413,Gene_413,protein_coding,chr17
GENE_000414,Gene_414,protein_coding,chr18
GENE_000415,Gene_415,protein_coding,chr19
GENE_000416,Gene_416,protein_coding,chr20
GENE_000417,Gene_417,protein_coding,chr21
GENE_000418,Gene_418,protein_coding,chr22
GENE_000419,Gene_419,protein_coding,chr1
GENE_000420,Gene_420,protein_coding,chr2
GENE_000421,Gene_421,protein_coding,chr3
GENE_000422,Gene_422,protein_coding,chr4
GENE_000423,Gene_423,protein_coding,chr5
GENE_000424,Gene_424,protein_coding,chr6
GENE_000425,Gene_425,protein_coding,chr7
GENE_000426,Gene_426,protein_coding,chr8
GENE_000427,Gene_427,protein_coding,chr9
GENE_000428,Gene_428,protein_coding,chr10
GENE_000429,Gene_429,protein_coding,chr11
GENE_000430,Gene_430,protein_coding,chr12
GENE_000431,Gene_431,protein_coding,chr13
GENE_000432,Gene_432,protein_coding,chr14
GENE_000433,Gene_433,protein_coding,chr15
GENE_000434,Gene_434,protein_coding,chr16
GENE_000435,Gene_435,protein_coding,chr17
GENE_000436,Gene_436,protein_coding,chr18
GENE_000437,Gene_437,protein_coding,chr19
GENE_000438,Gene_438,protein_coding,chr20
GENE_000439,Gene_439,protein_coding,chr21
GENE_000440,Gene_440,protein_coding,chr22
GENE_000441,Gene_441,protein_coding,chr1
GENE_000442,Gene_442,protein_coding,chr2
GENE_000443,Gene_443,protein_coding,chr3
GENE_000444,Gene_444,protein_coding,chr4
GENE_000445,Gene_445,protein_coding,chr5
GENE_000446,Gene_446,protein_coding,chr6
GENE_000447,Gene_447,protein_coding,chr7
GENE_000448,Gene_448,protein_coding,chr8
GENE_000449,Gene_449,protein_coding,chr9
GENE_000450,Gene_450,protein_coding,chr10
GENE_000451,Gene_451,protein_coding,chr11
GENE_000452,Gene_452,protein_coding,chr12
GENE_000453,Gene_453,protein_coding,chr13
GENE_000454,Gene_454,protein_coding,chr14
GENE_000455,Gene_455,protein_coding,chr15
GENE_000456,Gene_456,protein_coding,chr16
GENE_000457,Gene_457,protein_coding,chr17
GENE_000458,Gene_458,protein_coding,chr18
GENE_000459,Gene_459,protein_coding,chr19
GENE_000460,Gene_460,protein_coding,chr20
GENE_000461,Gene_461,protein_coding,chr21
GENE_000462,Gene_462,protein_coding,chr22
GENE_000463,Gene_463,protein_coding,chr1
GENE_000464,Gene_464,protein_coding,chr2
GENE_000465,Gene_465,protein_coding,chr3
GENE_000466,Gene_466,protein_coding,chr4
GENE_000467,Gene_467,protein_coding,chr5
GENE_000468,Gene_468,protein_coding,chr6
GENE_000469,Gene_469,protein_coding,chr7
GENE_000470,Gene_470,protein_coding,chr8
GENE_000471,Gene_471,protein_coding,chr9
GENE_000472,Gene_472,protein_coding,chr10
GENE_000473,Gene_473,protein_coding,chr11
GENE_000474,Gene_474,protein_coding,chr12
GENE_000475,Gene_475,protein_coding,chr13
GENE_000476,Gene_476,protein_coding,chr14
GENE_000477,Gene_477,protein_coding,chr15
GENE_000478,Gene_478,protein_coding,chr16
GENE_000479,Gene_479,protein_coding,chr17
GENE_000480,Gene_480,protein_coding,chr18
GENE_000481,Gene_481,protein_coding,chr19
GENE_000482,Gene_482,protein_coding,chr20
GENE_000483,Gene_483,protein_coding,chr21
GENE_000484,Gene_484,protein_coding,chr22
GENE_000485,Gene_485,protein_coding,chr1
GENE_000486,Gene_486,protein_coding,chr2
GENE_000487,Gene_487,protein_coding,chr3
GENE_000488,Gene_488,protein_coding,chr4
GENE_000489,Gene_489,protein_coding,chr5
GENE_000490,Gene_490,protein_coding,chr6
GENE_000491,Gene_491,protein_coding,chr7
GENE_000492,Gene_492,protein_coding,chr8
GENE_000493,Gene_493,protein_coding,chr9
GENE_000494,Gene_494,protein_coding,chr10
GENE_000495,Gene_495,protein_coding,chr11
GENE_000496,Gene_496,protein_coding,chr12
GENE_000497,Gene_497,protein_coding,chr13
GENE_000498,Gene_498,protein_coding,chr14
GENE_000499,Gene_499,protein_coding,chr15
GENE_000500,Gene_500,protein_coding,chr16
GENE_000501,Gene_501,protein_coding,chr17
GENE_000502,Gene_502,protein_coding,chr18
GENE_000503,Gene_503,protein_coding,chr19
GENE_000504,Gene_504,protein_coding,chr20
GENE_000505,Gene_505,protein_coding,chr21
GENE_000506,Gene_506,protein_coding,chr22
GENE_000507,Gene_507,protein_coding,chr1
GENE_000508,Gene_508,protein_coding,chr2
GENE_000509,Gene_509,protein_coding,chr3
GENE_000510,Gene_510,protein_coding,chr4
GENE_000511,Gene_511,protein_coding,chr5
GENE_000512,Gene_512,protein_coding,chr6
GENE_000513,Gene_513,protein_coding,chr7
GENE_000514,Gene_514,protein_coding,chr8
GENE_000515,Gene_515,protein_coding,chr9
GENE_000516,Gene_516,protein_coding,chr10
GENE_000517,Gene_517,protein_coding,chr11
GENE_000518,Gene_518,protein_coding,chr12
GENE_000519,Gene_519,protein_coding,chr13
GENE_000520,Gene_520,protein_coding,chr14
GENE_000521,Gene_521,protein_coding,chr15
GENE_000522,Gene_522,protein_coding,chr16
GENE_000523,Gene_523,protein_coding,chr17
GENE_000524,Gene_524,protein_coding,chr18
GENE_000525,Gene_525,protein_coding,chr19
GENE_000526,Gene_526,protein_coding,chr20
GENE_000527,Gene_527,protein_coding,chr21
GENE_000528,Gene_528,protein_coding,chr22
GENE_000529,Gene_529,protein_coding,chr1
GENE_000530,Gene_530,protein_coding,chr2
GENE_000531,Gene_531,protein_coding,chr3
GENE_000532,Gene_532,protein_coding,chr4
GENE_000533,Gene_533,protein_coding,chr5
GENE_000534,Gene_534,protein_coding,chr6
GENE_000535,Gene_535,protein_coding,chr7
GENE_000536,Gene_536,protein_coding,chr8
GENE_000537,Gene_537,protein_coding,chr9
GENE_000538,Gene_538,protein_coding,chr10
GENE_000539,Gene_539,protein_coding,chr11
GENE_000540,Gene_540,protein_coding,chr12
GENE_000541,Gene_541,protein_coding,chr13
GENE_000542,Gene_542,protein_coding,chr14
GENE_000543,Gene_543,protein_coding,chr15
GENE_000544,Gene_544,protein_coding,chr16
GENE_000545,Gene_545,protein_coding,chr17
GENE_000546,Gene_546,protein_coding,chr18
GENE_000547,Gene_547,protein_coding,chr19
GENE_000548,Gene_548,protein_coding,chr20
GENE_000549,Gene_549,protein_coding,chr21
GENE_000550,Gene_550,protein_coding,chr22
GENE_000551,Gene_551,protein_coding,chr1
GENE_000552,Gene_552,protein_coding,chr2
GENE_000553,Gene_553,protein_coding,chr3
GENE_000554,Gene_554,protein_coding,chr4
GENE_000555,Gene_555,protein_coding,chr5
GENE_000556,Gene_556,protein_coding,chr6
GENE_000557,Gene_557,protein_coding,chr7
GENE_000558,Gene_558,protein_coding,chr8
GENE_000559,Gene_559,protein_coding,chr9
GENE_000560,Gene_560,protein_coding,chr10
GENE_000561,Gene_561,protein_coding,chr11
GENE_000562,Gene_562,protein_coding,chr12
GENE_000563,Gene_563,protein_coding,chr13
GENE_000564,Gene_564,protein_coding,chr14
GENE_000565,Gene_565,protein_coding,chr15
GENE_000566,Gene_566,protein_coding,chr16
GENE_000567,Gene_567,protein_coding,chr17
GENE_000568,Gene_568,protein_coding,chr18
GENE_000569,Gene_569,protein_coding,chr19
GENE_000570,Gene_570,protein_coding,chr20
GENE_000571,Gene_571,protein_coding,chr21
GENE_000572,Gene_572,protein_coding,chr22
GENE_000573,Gene_573,protein_coding,chr1
GENE_000574,Gene_574,protein_coding,chr2
GENE_000575,Gene_575,protein_coding,chr3
GENE_000576,Gene_576,protein_coding,chr4
GENE_000577,Gene_577,protein_coding,chr5
GENE_000578,Gene_578,protein_coding,chr6
GENE_000579,Gene_579,protein_coding,chr7
GENE_000580,Gene_580,protein_coding,chr8
GENE_000581,Gene_581,protein_coding,chr9
GENE_000582,Gene_582,protein_coding,chr10
GENE_000583,Gene_583,protein_coding,chr11
GENE_000584,Gene_584,protein_coding,chr12
GENE_000585,Gene_585,protein_coding,chr13
GENE_000586,Gene_586,protein_coding,chr14
GENE_000587,Gene_587,protein_coding,chr15
GENE_000588,Gene_588,protein_coding,chr16
GENE_000589,Gene_589,protein_coding,chr17
GENE_000590,Gene_590,protein_coding,chr18
GENE_000591,Gene_591,protein_coding,chr19
GENE_000592,Gene_592,protein_coding,chr20
GENE_000593,Gene_593,protein_coding,chr21
GENE_000594,Gene_594,protein_coding,chr22
GENE_000595,Gene_595,protein_coding,chr1
GENE_000596,Gene_596,protein_coding,chr2
GENE_000597,Gene_597,protein_coding,chr3
GENE_000598,Gene_598,protein_coding,chr4
GENE_000599,Gene_599,protein_coding,chr5
GENE_000600,Gene_600,protein_coding,chr6
GENE_000601,Gene_601,protein_coding,chr7
GENE_000602,Gene_602,protein_coding,chr8
GENE_000603,Gene_603,protein_coding,chr9
GENE_000604,Gene_604,protein_coding,chr10
GENE_000605,Gene_605,protein_coding,chr11
GENE_000606,Gene_606,protein_coding,chr12
